p,x,s,n,t,p_2,f,c,n_2,k,e,e_2,s_2,s_3,w,w_2,p_3,w_3,o,p_4,k_2,s_4,u
p,f,f,g,false,f,f,c,b,p,e,b,k,k,p,b,p,w,o,l,h,y,p
p,f,f,y,false,f,f,c,b,h,e,b,k,k,b,p,p,w,o,l,h,y,p
p,f,y,y,false,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,y,d
p,f,f,y,false,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,v,p
p,f,f,y,false,f,f,c,b,h,e,b,k,k,b,p,p,w,o,l,h,v,d
p,x,y,g,false,f,f,c,b,h,e,b,k,k,b,p,p,w,o,l,h,v,g
p,x,y,g,false,f,f,c,b,p,e,b,k,k,b,b,p,w,o,l,h,v,g
p,x,y,g,false,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,v,d
e,x,s,b,true,n,f,c,b,w,e,?,s,s,e,w,p,w,t,e,w,c,w
p,f,f,g,false,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,v,d
e,x,f,y,true,l,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d
p,x,f,y,false,f,f,c,b,g,e,b,k,k,p,b,p,w,o,l,h,v,d
p,x,y,n,false,s,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,l
p,x,y,g,false,f,f,c,b,g,e,b,k,k,b,b,p,w,o,l,h,y,d
p,f,y,g,false,f,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,v,p
p,f,y,g,false,f,f,c,b,p,e,b,k,k,p,n,p,w,o,l,h,y,d
p,f,f,y,false,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,y,g
p,x,y,y,false,f,f,c,b,g,e,b,k,k,n,n,p,w,o,l,h,v,d
p,x,f,y,false,f,f,c,b,h,e,b,k,k,p,b,p,w,o,l,h,v,g
p,f,f,g,false,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,y,p
p,x,y,g,false,f,f,c,b,g,e,b,k,k,n,p,p,w,o,l,h,v,p
e,b,s,w,true,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m
p,f,f,y,false,f,f,c,b,h,e,b,k,k,b,b,p,w,o,l,h,y,g
p,x,f,y,false,f,f,c,b,p,e,b,k,k,n,p,p,w,o,l,h,y,g
e,x,y,u,false,n,f,c,n,h,e,?,s,f,w,w,p,w,o,f,h,v,d
e,f,y,b,true,n,f,c,b,e,e,?,s,s,e,e,p,w,t,e,w,c,w
p,f,y,y,false,f,f,c,b,h,e,b,k,k,b,p,p,w,o,l,h,y,d
p,x,y,y,false,f,f,c,b,g,e,b,k,k,n,p,p,w,o,l,h,y,p
p,x,y,g,false,f,f,c,b,g,e,b,k,k,p,b,p,w,o,l,h,v,g
p,f,f,g,false,f,f,c,b,p,e,b,k,k,p,n,p,w,o,l,h,y,d
p,f,y,g,false,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,v,g
p,f,f,g,false,f,f,c,b,h,e,b,k,k,b,b,p,w,o,l,h,y,g
e,x,s,g,false,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,k,a,g
p,f,y,g,false,f,f,c,b,p,e,b,k,k,n,n,p,w,o,l,h,v,g
p,x,f,y,false,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,y,g
p,f,f,y,false,f,f,c,b,h,e,b,k,k,p,p,p,w,o,l,h,v,d
p,f,f,g,false,f,f,c,b,p,e,b,k,k,p,p,p,w,o,l,h,v,d
p,f,y,y,false,f,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,v,g
p,f,y,y,false,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,y,g
p,f,f,g,false,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,v,g
p,f,s,b,true,f,f,c,b,w,t,b,s,f,w,w,p,w,o,p,h,v,g
p,f,s,w,true,n,f,c,b,g,e,b,s,s,w,w,p,w,t,p,r,v,m
p,x,y,y,false,f,f,c,b,p,e,b,k,k,p,n,p,w,o,l,h,y,p
e,b,s,w,true,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,g
p,f,f,y,false,f,f,c,b,p,e,b,k,k,b,b,p,w,o,l,h,v,p
p,f,y,g,false,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,v,g
p,x,y,y,false,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,v,d
p,x,f,y,false,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,v,p
p,x,f,y,false,f,f,c,b,g,e,b,k,k,p,b,p,w,o,l,h,y,d
e,f,f,g,true,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,n,v,d
e,x,y,u,false,n,f,c,n,u,e,?,s,f,w,w,p,w,o,f,h,v,d
p,x,y,g,false,f,f,c,b,h,e,b,k,k,p,p,p,w,o,l,h,y,d
p,f,f,y,false,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,v,g
p,x,y,y,false,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,v,d
e,b,s,y,true,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,m
p,f,y,g,false,f,f,c,b,p,e,b,k,k,n,p,p,w,o,l,h,v,d
p,x,y,y,false,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,y,p
p,x,f,y,false,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,v,d
p,x,y,y,false,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,y,p
p,f,f,y,false,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,v,g
p,x,y,g,false,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,y,p
p,f,y,g,false,f,f,c,b,p,e,b,k,k,n,n,p,w,o,l,h,y,g
p,f,y,g,false,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,v,p
p,x,f,y,false,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,y,p
e,f,f,e,true,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,n,v,d
e,f,y,y,true,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,y,p
p,x,y,y,false,f,f,c,b,h,e,b,k,k,p,p,p,w,o,l,h,y,d
p,f,f,g,false,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,v,d
p,x,y,g,false,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,y,p
p,f,y,g,false,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,v,p
p,f,f,g,false,f,f,c,b,p,e,b,k,k,b,n,p,w,o,l,h,y,p
p,f,f,g,false,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,y,d
p,f,f,g,false,f,f,c,b,p,e,b,k,k,n,p,p,w,o,l,h,v,g
p,f,y,g,false,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,y,d
p,f,f,y,false,f,f,c,b,h,e,b,k,k,p,b,p,w,o,l,h,v,d
p,x,f,y,false,f,f,c,b,h,e,b,k,k,p,p,p,w,o,l,h,y,d
e,f,y,n,true,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,y,p
p,x,y,g,false,f,f,c,b,p,e,b,k,k,n,n,p,w,o,l,h,v,p
p,x,y,g,false,f,f,c,b,p,e,b,k,k,b,n,p,w,o,l,h,y,p
p,x,f,w,false,c,f,c,n,g,e,b,s,s,w,w,p,w,o,p,n,v,d
p,f,f,g,false,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,y,d
p,x,f,y,false,f,f,c,b,h,e,b,k,k,p,p,p,w,o,l,h,v,p
p,f,y,g,false,f,f,c,b,p,e,b,k,k,p,p,p,w,o,l,h,v,d
p,x,f,y,false,f,f,c,b,p,e,b,k,k,p,n,p,w,o,l,h,v,g
p,f,y,g,false,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,v,d
p,f,y,g,false,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,v,d
p,f,f,y,false,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,y,p
e,x,s,w,true,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,m
p,x,y,g,false,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,v,g
p,f,y,y,false,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,v,g
p,f,f,y,false,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,y,p
p,x,f,y,false,f,f,c,b,h,e,b,k,k,b,p,p,w,o,l,h,v,d
p,f,f,y,false,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,v,g
p,x,y,y,false,f,f,c,b,p,e,b,k,k,b,n,p,w,o,l,h,y,p
p,f,f,y,false,f,f,c,b,g,e,b,k,k,b,b,p,w,o,l,h,y,d
p,x,f,y,false,f,f,c,b,p,e,b,k,k,b,b,p,w,o,l,h,v,g
p,f,y,g,false,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,y,d
p,f,f,g,false,f,f,c,b,p,e,b,k,k,p,b,p,w,o,l,h,y,d
e,x,s,w,true,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m
e,f,y,y,true,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,s,g
p,f,f,y,false,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,v,g
p,f,f,g,false,f,f,c,b,p,e,b,k,k,b,b,p,w,o,l,h,v,d
p,f,f,g,false,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,y,g
p,f,f,y,false,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,v,d
p,x,y,y,false,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,y,d
p,x,y,y,false,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,v,d
p,f,f,y,false,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,y,d
p,x,y,y,false,f,f,c,b,h,e,b,k,k,b,b,p,w,o,l,h,v,d
p,x,y,y,false,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,v,g
p,x,y,n,false,y,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,v,d
e,b,s,w,true,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,g
e,f,y,b,true,n,f,c,b,w,e,?,s,s,w,w,p,w,t,e,w,c,w
p,x,f,y,false,f,f,c,b,h,e,b,k,k,b,p,p,w,o,l,h,v,g
p,x,y,y,false,f,f,c,b,h,e,b,k,k,b,b,p,w,o,l,h,y,d
p,f,y,g,false,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,y,d
p,x,y,y,false,f,f,c,b,p,e,b,k,k,n,p,p,w,o,l,h,y,d
p,f,y,g,false,f,f,c,b,p,e,b,k,k,p,b,p,w,o,l,h,v,p
p,f,y,g,false,f,f,c,b,p,e,b,k,k,p,b,p,w,o,l,h,y,d
p,f,f,g,false,f,f,c,b,p,e,b,k,k,p,b,p,w,o,l,h,v,p
p,x,f,y,false,f,f,c,b,p,e,b,k,k,p,n,p,w,o,l,h,v,p
p,f,f,y,false,f,f,c,b,p,e,b,k,k,b,n,p,w,o,l,h,y,g
e,x,y,y,true,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m
p,f,f,y,false,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,y,d
p,f,y,g,false,f,f,c,b,h,e,b,k,k,p,b,p,w,o,l,h,v,p
p,f,y,g,false,f,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,y,g
p,f,f,g,false,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,y,g
p,f,y,g,false,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,v,d
p,f,f,g,false,f,f,c,b,h,e,b,k,k,p,b,p,w,o,l,h,v,d
p,f,y,g,false,f,f,c,b,g,e,b,k,k,p,b,p,w,o,l,h,v,p
p,x,f,g,false,c,f,c,n,u,e,b,s,s,w,w,p,w,o,p,k,s,d
p,f,s,b,true,f,f,c,b,w,t,b,f,f,w,w,p,w,o,p,h,v,g
e,f,f,e,true,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,k,v,d
e,x,f,n,false,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,u
p,x,y,y,false,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,v,p
p,x,y,g,false,f,f,c,b,p,e,b,k,k,p,n,p,w,o,l,h,y,d
p,f,y,g,false,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,v,g
e,f,f,g,true,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,k,v,d
p,x,y,y,false,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,y,d
p,x,y,y,false,f,f,c,b,p,e,b,k,k,p,b,p,w,o,l,h,v,p
p,f,f,y,false,f,f,c,b,p,e,b,k,k,n,p,p,w,o,l,h,y,p
p,x,f,y,false,f,f,c,b,h,e,b,k,k,b,p,p,w,o,l,h,v,p
p,x,f,y,false,f,f,c,b,h,e,b,k,k,b,b,p,w,o,l,h,y,d
p,x,y,g,false,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,v,g
e,f,y,n,true,a,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,y,g
p,f,s,w,true,f,f,c,b,w,t,b,s,f,w,w,p,w,o,p,h,s,u
p,x,y,g,false,f,f,c,b,p,e,b,k,k,p,n,p,w,o,l,h,v,d
p,x,f,y,false,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,v,g
p,f,y,g,false,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,y,p
p,x,y,g,false,f,f,c,b,p,e,b,k,k,p,p,p,w,o,l,h,v,p
p,x,f,y,false,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,v,d
e,f,y,u,false,n,f,c,n,h,e,?,s,f,w,w,p,w,o,f,h,v,d
p,f,f,y,false,f,f,c,b,h,e,b,k,k,b,b,p,w,o,l,h,y,d
p,f,y,g,false,f,f,c,b,p,e,b,k,k,b,b,p,w,o,l,h,v,g
p,x,y,y,false,f,f,c,b,h,e,b,k,k,b,p,p,w,o,l,h,y,g
e,x,s,w,true,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,m
p,f,f,g,false,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,y,g
e,f,y,n,true,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,n,y,d
p,x,f,y,false,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,v,p
p,f,f,g,false,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,y,d
p,x,y,g,false,f,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,y,p
p,f,f,y,false,f,f,c,b,p,e,b,k,k,n,n,p,w,o,l,h,y,g
p,x,f,y,false,f,f,c,b,h,e,b,k,k,b,b,p,w,o,l,h,v,d
p,x,y,y,false,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,v,p
p,x,f,y,false,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,v,p
p,f,y,g,false,f,f,c,b,g,e,b,k,k,n,p,p,w,o,l,h,v,g
e,x,s,y,true,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,g
p,x,s,w,true,f,f,c,b,h,t,b,f,f,w,w,p,w,o,p,h,s,u
e,f,y,e,true,n,f,c,b,w,e,?,s,s,w,w,p,w,t,e,w,c,w
e,x,y,u,false,n,f,c,n,w,e,?,s,f,w,w,p,w,o,f,h,y,d
p,x,y,y,false,f,f,c,b,p,e,b,k,k,b,n,p,w,o,l,h,v,g
p,x,y,g,false,f,f,c,b,p,e,b,k,k,n,p,p,w,o,l,h,y,d
p,x,f,y,false,f,f,c,b,p,e,b,k,k,p,p,p,w,o,l,h,y,p
p,f,f,g,false,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,y,d
p,x,y,g,false,f,f,c,b,g,e,b,k,k,p,b,p,w,o,l,h,y,p
p,f,f,g,false,f,f,c,b,h,e,b,k,k,b,n,p,w,o,l,h,y,g
p,f,f,y,false,f,f,c,b,p,e,b,k,k,p,n,p,w,o,l,h,y,g
e,b,y,y,true,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,g
p,x,y,g,false,f,f,c,b,h,e,b,k,k,p,p,p,w,o,l,h,y,p
p,f,y,g,false,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,y,p
e,f,s,p,true,n,f,c,b,w,e,?,s,s,w,e,p,w,t,e,w,c,w
p,f,f,g,false,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,y,p
p,x,y,y,false,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,y,p
p,x,y,g,false,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,y,p
p,f,f,y,false,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,v,g
p,x,f,y,false,f,f,c,b,p,e,b,k,k,p,n,p,w,o,l,h,y,d
p,f,y,g,false,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,y,d
p,f,y,y,false,f,f,c,b,g,e,b,k,k,n,p,p,w,o,l,h,y,p
e,f,y,y,true,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,s,p
p,x,y,g,false,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,y,g
p,x,y,g,false,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,y,d
p,f,f,y,false,f,f,c,b,g,e,b,k,k,n,p,p,w,o,l,h,y,p
p,f,f,g,false,f,f,c,b,p,e,b,k,k,b,n,p,w,o,l,h,y,d
p,x,y,g,false,f,f,c,b,h,e,b,k,k,b,n,p,w,o,l,h,y,p
p,f,f,y,false,f,f,c,b,p,e,b,k,k,p,p,p,w,o,l,h,v,p
p,f,y,g,false,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,v,d
p,x,y,g,false,f,f,c,b,p,e,b,k,k,n,p,p,w,o,l,h,y,g
p,f,f,g,false,f,f,c,b,h,e,b,k,k,b,b,p,w,o,l,h,v,d
p,x,y,g,false,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,y,g
e,x,y,y,true,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,g
p,f,f,g,false,f,f,c,b,p,e,b,k,k,p,n,p,w,o,l,h,v,d
p,x,y,y,false,f,f,c,b,g,e,b,k,k,b,b,p,w,o,l,h,y,p
p,x,f,y,false,f,f,c,b,p,e,b,k,k,p,p,p,w,o,l,h,y,g
p,x,y,g,false,f,f,c,b,h,e,b,k,k,b,p,p,w,o,l,h,v,p
p,f,f,y,false,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,v,p
e,f,y,n,true,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,n,y,d
p,f,f,g,false,f,f,c,b,h,e,b,k,k,p,b,p,w,o,l,h,y,d
p,x,y,y,false,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,y,p
p,x,s,g,true,f,f,c,b,h,t,b,f,f,w,w,p,w,o,p,h,s,g
p,f,y,y,false,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,v,p
e,x,y,y,true,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,s,p
e,x,y,w,true,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,m
p,x,y,y,false,f,f,c,b,p,e,b,k,k,n,p,p,w,o,l,h,v,p
p,x,f,w,false,c,f,c,n,g,e,b,s,s,w,w,p,w,o,p,k,s,d
p,x,f,y,false,f,f,c,b,g,e,b,k,k,n,p,p,w,o,l,h,y,d
p,f,s,b,true,f,f,c,b,h,t,b,f,s,w,w,p,w,o,p,h,s,u
p,x,y,y,false,f,f,c,b,h,e,b,k,k,p,b,p,w,o,l,h,y,g
p,x,y,g,false,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,y,d
p,f,f,y,false,f,f,c,b,g,e,b,k,k,b,b,p,w,o,l,h,y,g
p,f,s,p,true,n,f,c,b,w,e,b,s,s,w,w,p,w,t,p,r,v,g
p,f,s,b,true,f,f,c,b,p,t,b,f,f,w,w,p,w,o,p,h,v,u
p,x,y,g,false,f,f,c,b,g,e,b,k,k,b,b,p,w,o,l,h,v,g
e,f,f,w,true,a,f,w,n,n,t,b,s,s,w,w,p,w,o,p,u,v,d
p,x,y,g,false,f,f,c,b,h,e,b,k,k,p,b,p,w,o,l,h,y,g
p,x,y,g,false,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,v,g
p,f,f,g,false,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,y,p
p,f,f,g,false,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,v,p
p,x,f,y,false,f,f,c,b,h,e,b,k,k,p,p,p,w,o,l,h,y,p
p,f,f,y,false,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,v,p
e,f,y,u,false,n,f,c,n,u,e,?,s,f,w,w,p,w,o,f,h,v,d
p,x,f,y,false,f,f,c,b,g,e,b,k,k,b,b,p,w,o,l,h,y,g
e,f,f,e,true,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,n,v,d
p,f,f,y,false,f,f,c,b,g,e,b,k,k,n,p,p,w,o,l,h,y,g
e,s,f,g,false,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,y,u
p,x,f,y,false,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,v,g
p,x,y,n,false,f,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,l
p,x,y,g,false,f,f,c,b,g,e,b,k,k,b,b,p,w,o,l,h,y,g
p,x,f,y,false,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,y,d
p,f,f,g,false,f,f,c,b,p,e,b,k,k,p,p,p,w,o,l,h,y,g
p,x,y,g,false,f,f,c,b,g,e,b,k,k,b,b,p,w,o,l,h,v,p
p,x,y,g,false,f,f,c,b,h,e,b,k,k,b,b,p,w,o,l,h,y,g
p,x,f,y,false,f,f,c,b,h,e,b,k,k,b,p,p,w,o,l,h,y,d
p,f,f,y,false,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,y,g
p,f,y,g,false,f,f,c,b,g,e,b,k,k,n,p,p,w,o,l,h,v,p
e,f,s,y,true,l,f,w,n,n,t,b,s,s,w,w,p,w,o,p,n,v,d
p,f,y,g,false,f,f,c,b,h,e,b,k,k,p,b,p,w,o,l,h,y,g
e,f,y,n,true,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,n,y,d
p,x,y,y,false,f,f,c,b,g,e,b,k,k,n,p,p,w,o,l,h,v,g
e,f,f,e,true,n,f,c,b,w,t,b,s,s,w,w,p,w,o,p,k,y,d
p,x,f,y,false,f,f,c,b,h,e,b,k,k,b,n,p,w,o,l,h,y,d
p,x,y,g,false,f,f,c,b,h,e,b,k,k,p,b,p,w,o,l,h,y,p
p,f,y,g,false,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,y,p
p,x,f,y,false,f,f,c,b,p,e,b,k,k,p,b,p,w,o,l,h,y,p
p,f,f,g,false,f,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,v,d
p,f,f,g,false,f,f,c,b,p,e,b,k,k,p,b,p,w,o,l,h,v,d
e,f,f,g,false,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,y,u
p,f,y,g,false,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,y,p
p,f,y,g,false,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,y,g
p,x,f,y,false,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,v,d
p,x,y,y,false,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,y,p
p,f,f,y,false,f,f,c,b,g,e,b,k,k,n,p,p,w,o,l,h,v,d
p,x,y,g,false,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,y,d
p,f,f,y,false,f,f,c,b,g,e,b,k,k,p,b,p,w,o,l,h,y,p
p,f,y,g,false,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,v,d
p,x,f,p,false,c,f,w,n,p,e,b,s,s,w,w,p,w,o,p,k,s,d
p,f,f,y,false,f,f,c,b,g,e,b,k,k,p,b,p,w,o,l,h,v,d
e,x,f,n,false,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,y,u
p,x,y,g,false,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,v,d
p,x,y,y,false,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,y,g
p,x,y,g,false,f,f,c,b,h,e,b,k,k,p,b,p,w,o,l,h,v,d
p,f,y,y,false,f,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,v,p
p,x,y,g,false,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,y,p
p,x,f,y,false,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,v,d
p,f,y,g,false,f,f,c,b,g,e,b,k,k,b,b,p,w,o,l,h,v,d
p,f,y,g,false,f,f,c,b,p,e,b,k,k,p,b,p,w,o,l,h,v,g
p,x,y,y,false,f,f,c,b,p,e,b,k,k,p,n,p,w,o,l,h,y,d
p,f,f,y,false,f,f,c,b,h,e,b,k,k,p,b,p,w,o,l,h,y,d
e,b,y,w,true,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,g
p,x,y,g,false,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,v,d
p,x,y,y,false,f,f,c,b,p,e,b,k,k,b,b,p,w,o,l,h,y,d
p,x,y,g,false,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,v,d
p,x,y,g,false,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,y,g
p,x,f,y,false,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,v,g
p,x,y,g,false,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,y,d
p,f,f,g,false,f,f,c,b,g,e,b,k,k,p,b,p,w,o,l,h,y,p
p,f,f,g,false,f,f,c,b,p,e,b,k,k,b,b,p,w,o,l,h,v,g
p,x,y,g,false,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,v,p
p,x,f,y,false,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,v,d
e,x,s,w,true,a,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d
p,x,y,g,false,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,y,d
p,f,f,g,false,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,v,p
p,x,y,y,false,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,v,p
p,x,f,y,false,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,v,d
p,f,y,g,false,f,f,c,b,p,e,b,k,k,n,n,p,w,o,l,h,y,d
p,f,f,g,false,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,v,p
e,x,s,p,true,n,f,c,b,e,e,?,s,s,w,w,p,w,t,e,w,c,w
p,f,f,y,false,f,f,c,b,p,e,b,k,k,n,p,p,w,o,l,h,v,d
p,x,s,p,false,c,f,w,n,g,e,b,s,s,w,w,p,w,o,p,k,v,d
p,x,f,y,false,f,f,c,b,h,e,b,k,k,p,p,p,w,o,l,h,y,g
e,b,y,y,true,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,m
p,f,f,g,false,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,y,p
p,x,f,y,false,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,y,g
e,f,f,e,true,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,n,y,d
